,name,Fate,Founded,HeadQuarters,Type,TotalEmployees,CurStatus,Defunct
0,Walmart,,"


July 2, 1962; 54 years ago (1962-07-02)
Rogers, Arkansas, U.S.


","Bentonville, Arkansas, U.S.",Public,"


2.3 million in the World (2016),
1.4 million in U.S. (2016)[4]


",,
0,Bank of America,,"October 17, 1904; 111 years ago (1904-10-17) (as Bank of Italy)
February 1930; 86 years ago (1930-02) (as Bank of America)[1][2]
1998; 18 years ago (1998) (current)","Charlotte, North Carolina, United States",Public,"210,516 (2016)[3]",,
0,AT&T,,"October 5, 1983; 32 years ago (1983-10-05)[1]","Dallas, Texas, United States",Public,"243,620 (2015)[3]",,
0,IBM,,"June 16, 1911; 105 years ago (1911-06-16)
Endicott, New York, U.S.[1]","Armonk, New York, U.S.",Public,"377,757 (2015)[4]",,
0,Best Buy,,"October 20, 1966; 49 years ago (1966-10-20) (as Sound of Music)
1983 (1983) (as Best Buy)
West St. Paul, Minnesota, U.S.","Richfield, Minnesota, United States",Public," 125,000 (2016)",,
0,The Home Depot,,"1978; 38 years ago (1978)
Marietta, Georgia, United States","Unincorporated Cobb County, Georgia, 30339 United States",Public,"371,000 (2015)[3]",,
0,Macy's,,"October 28, 1858; 157 years ago (1858-10-28)
New York, New York, U.S.","Cincinnati, Ohio, U.S.",Subsidiary,,,
0,Microsoft,,"April 4, 1975; 41 years ago (1975-04-04)
Albuquerque, New Mexico, United States","Microsoft Redmond campus, Redmond, Washington, United States",Public,"114,000 (June 30, 2016)[4]",,
0,Lowe's,,"1946; 70 years ago (1946)
North Wilkesboro, North Carolina[1]","Mooresville, North Carolina, U.S.",Public,"265,000 (2014)[2]",,
0,Starbucks,,"March 30, 1971; 45 years ago (1971-03-30)
Pike Place Market, Elliott Bay, Seattle, Washington, U.S.","2401 Utah Avenue South, Seattle, Washington, U.S.",Public,"191,000[4] (2014)",,
0,McDonald's,,"McDonald's:
May 15, 1940; 76 years ago (1940-05-15)
San Bernardino, California
McDonald's Corporation:
April 15, 1955; 61 years ago (1955-04-15)
Des Plaines, Illinois","Oak Brook, Illinois, U.S. (Moving to Chicago in 2018)[1]",Public,"420,000 (2015)[2]",,
0,Hewlett-Packard,Split into two companies,"January 1, 1939; 77 years ago (1939-01-01)","Palo Alto, California, United States",,"315,000 (Q2, 2015)[1]",,"November 1, 2015; 8 months ago (2015-11-01)"
0,CVS Health,,"1996; 20 years ago (1996) in Woonsocket, Rhode Island, U.S.","Woonsocket, Rhode Island, U.S.",Public,"137,800 (2015)[1]",,
0,Walgreens,,"1901; 115 years ago (1901)
Chicago, Illinois, U.S.","200 Wilmot Road, Deerfield, Illinois, United States",Subsidiary,,,
0,Amazon.com,,"July 5, 1994; 22 years ago (1994-07-05) (as Cadabra)
Seattle, Washington, United States","Seattle, Washington, United States[1][2][3]",Public,"230,800 (December 2015)[9]",,
0,Deloitte,,"1845; 171 years ago (1845)
London, U.K.","30 Rockefeller Plaza,
New York City, New York, U.S.A.","UK private company, limited by guarantee[1]","225,400 (2015)[4]",,
0,Sears,,"1886; 130 years ago (1886)
Chicago, Illinois","Hoffman Estates, Illinois, United States",Subsidiary,,,
0,Accenture,,1989,"Incorporated headquarters in Dublin, Ireland",Public company,"375,000 (2016)[6]",,
0,Nordstrom,,1901 (1901),"Seattle, Washington, United States",Public,"72,500 (2015)[5]",,
0,Verizon Wireless,,"April 4, 2000; 16 years ago (2000-04-04)
Bedminster, New Jersey, U.S.","Basking Ridge, New Jersey, United States",Subsidiary of Verizon Communications,,,
0,Walmart,,"


July 2, 1962; 54 years ago (1962-07-02)
Rogers, Arkansas, U.S.


","Bentonville, Arkansas, U.S.",Public,"


2.3 million in the World (2016),
1.4 million in U.S. (2016)[4]


",,
0,Bank of America,,"October 17, 1904; 111 years ago (1904-10-17) (as Bank of Italy)
February 1930; 86 years ago (1930-02) (as Bank of America)[1][2]
1998; 18 years ago (1998) (current)","Charlotte, North Carolina, United States",Public,"210,516 (2016)[3]",,
0,AT&T,,"October 5, 1983; 32 years ago (1983-10-05)[1]","Dallas, Texas, United States",Public,"243,620 (2015)[3]",,
0,IBM,,"June 16, 1911; 105 years ago (1911-06-16)
Endicott, New York, U.S.[1]","Armonk, New York, U.S.",Public,"377,757 (2015)[4]",,
0,Best Buy,,"October 20, 1966; 49 years ago (1966-10-20) (as Sound of Music)
1983 (1983) (as Best Buy)
West St. Paul, Minnesota, U.S.","Richfield, Minnesota, United States",Public," 125,000 (2016)",,
0,The Home Depot,,"1978; 38 years ago (1978)
Marietta, Georgia, United States","Unincorporated Cobb County, Georgia, 30339 United States",Public,"371,000 (2015)[3]",,
0,Macy's,,"October 28, 1858; 157 years ago (1858-10-28)
New York, New York, U.S.","Cincinnati, Ohio, U.S.",Subsidiary,,,
0,Microsoft,,"April 4, 1975; 41 years ago (1975-04-04)
Albuquerque, New Mexico, United States","Microsoft Redmond campus, Redmond, Washington, United States",Public,"114,000 (June 30, 2016)[4]",,
0,Lowe's,,"1946; 70 years ago (1946)
North Wilkesboro, North Carolina[1]","Mooresville, North Carolina, U.S.",Public,"265,000 (2014)[2]",,
